Starting Price: $10.00
Day 109 Price: $88.92
Day 110 Price: $94.20
Day 111 Price: $103.19
Day 112 Price: $111.71
Day 113 Price: $108.87
Day 114 Price: $106.74
Day 115 Price: $116.59
Day 116 Price: $123.57
Day 117 Price: $122.06
Day 118 Price: $130.40
Day 119 Price: $140.48
Day 120 Price: $135.75
Day 121 Price: $138.19
Day 122 Price: $132.86
Day 123 Price: $135.64
Day 124 Price: $133.65
Day 125 Price: $127.93
Day 126 Price: $131.98
Day 127 Price: $129.45
Day 128 Price: $128.67
Day 129 Price: $134.35
Day 130 Price: $131.89
Day 131 Price: $128.45
Day 132 Price: $134.09
Day 133 Price: $133.23
Day 134 Price: $129.26
Day 135 Price: $134.65
Day 136 Price: $135.70
Day 137 Price: $129.30
Day 138 Price: $141.41
Day 139 Price: $141.87
Day 140 Price: $135.45
Day 141 Price: $142.28
Day 142 Price: $137.90
Day 143 Price: $141.10
Day 144 Price: $145.62
Day 145 Price: $153.31
Day 146 Price: $160.32
Day 147 Price: $173.10
Day 148 Price: $185.07
Day 149 Price: $176.02
Day 150 Price: $188.86
Day 151 Price: $183.59
Day 152 Price: $181.69
Day 153 Price: $178.72
Day 154 Price: $188.84
Day 155 Price: $199.30
Day 156 Price: $198.20
Day 157 Price: $191.75
Day 158 Price: $189.75
Day 159 Price: $185.02
Day 160 Price: $190.01
Day 161 Price: $200.70
Day 162 Price: $214.52
Day 163 Price: $214.20
Day 164 Price: $214.56
Day 165 Price: $208.12
Day 166 Price: $228.20
Day 167 Price: $217.38
Day 168 Price: $222.70
Day 169 Price: $213.09
Day 170 Price: $210.18
Day 171 Price: $208.75
Day 172 Price: $206.12
Day 173 Price: $201.48
Day 174 Price: $214.04
Day 175 Price: $208.28
Day 176 Price: $207.39
Day 177 Price: $205.41
Day 178 Price: $204.08
Day 179 Price: $200.15
Day 180 Price: $205.35
Day 181 Price: $216.95
Day 182 Price: $233.33
Day 183 Price: $240.76
Day 184 Price: $234.71
Day 185 Price: $223.72
Day 186 Price: $222.45
Day 187 Price: $239.91
Day 188 Price: $253.67
Day 189 Price: $244.39
Day 190 Price: $237.64
Day 191 Price: $226.85
Day 192 Price: $223.26
Day 193 Price: $218.22
Day 194 Price: $212.10
Day 195 Price: $217.48
Day 196 Price: $224.04
Day 197 Price: $220.21
Day 198 Price: $232.74
Day 199 Price: $255.46
Day 200 Price: $268.22
Day 201 Price: $280.37
Day 202 Price: $300.79
Day 203 Price: $294.95
Day 204 Price: $284.74
Day 205 Price: $278.98
Day 206 Price: $280.66
Day 207 Price: $276.01
Day 208 Price: $301.03
Day 209 Price: $290.84
Day 210 Price: $297.80
Day 211 Price: $284.10
Day 212 Price: $294.23
Day 213 Price: $281.83
Day 214 Price: $279.98
Day 215 Price: $277.86
Day 216 Price: $299.26
Day 217 Price: $295.10
Day 218 Price: $291.72
Day 219 Price: $307.10
Day 220 Price: $332.52
Day 221 Price: $365.23
Day 222 Price: $369.95
Day 223 Price: $351.66
Day 224 Price: $353.02
Day 225 Price: $365.41
Day 226 Price: $347.19
Day 227 Price: $354.36
Day 228 Price: $341.58
Day 229 Price: $336.16
Day 230 Price: $325.04
Day 231 Price: $310.88
Day 232 Price: $307.92
Day 233 Price: $294.56
Day 234 Price: $281.95
Day 235 Price: $272.47
Day 236 Price: $271.68
Day 237 Price: $285.46
Day 238 Price: $301.43
Day 239 Price: $325.19
Day 240 Price: $354.96
Day 241 Price: $345.91
Day 242 Price: $364.49
Day 243 Price: $358.15
Day 244 Price: $379.04
Day 245 Price: $389.33
Day 246 Price: $401.19
Day 247 Price: $402.09
Day 248 Price: $382.00
Day 249 Price: $368.94
Day 250 Price: $390.51
Day 251 Price: $386.94
Day 252 Price: $373.32
Day 253 Price: $359.60
Day 254 Price: $386.03
Day 255 Price: $373.57
Day 256 Price: $386.89
Day 257 Price: $424.06
Day 258 Price: $458.90
Day 259 Price: $456.35
Day 260 Price: $499.48
Day 261 Price: $487.78
Day 262 Price: $531.07
Day 263 Price: $526.04
Day 264 Price: $556.04
Day 265 Price: $592.04
Day 266 Price: $569.32
Day 267 Price: $599.15
Day 268 Price: $574.07
Day 269 Price: $617.83
Day 270 Price: $632.57
Day 271 Price: $687.06
Day 272 Price: $680.78
Day 273 Price: $672.33
Day 274 Price: $715.10
Day 275 Price: $690.39
Day 276 Price: $665.65
Day 277 Price: $694.02
Day 278 Price: $722.00
Day 279 Price: $699.83
Day 280 Price: $683.78
Day 281 Price: $750.59
Day 282 Price: $714.83
Day 283 Price: $715.47
Day 284 Price: $733.16
Day 285 Price: $784.83
Day 286 Price: $755.16
Day 287 Price: $800.92
Day 288 Price: $777.64
Day 289 Price: $761.48
Day 290 Price: $778.21
Day 291 Price: $753.10
Day 292 Price: $750.55
Day 293 Price: $797.39
Day 294 Price: $777.30
Day 295 Price: $831.60
Day 296 Price: $833.03
Day 297 Price: $813.41
Day 298 Price: $790.56
Day 299 Price: $757.34
Day 300 Price: $784.92
Day 301 Price: $799.33
Day 302 Price: $762.22
Day 303 Price: $762.08
Day 304 Price: $752.66
Day 305 Price: $773.62
Day 306 Price: $797.24
Day 307 Price: $759.88
Day 308 Price: $760.76
Day 309 Price: $780.82
Day 310 Price: $744.87
Day 311 Price: $811.48
Day 312 Price: $803.19
Day 313 Price: $763.54
Day 314 Price: $751.45
Day 315 Price: $739.80
Day 316 Price: $789.08
Day 317 Price: $760.58
Day 318 Price: $755.30
Day 319 Price: $718.48
Day 320 Price: $716.76
Day 321 Price: $781.16
Day 322 Price: $798.41
Day 323 Price: $855.37
Day 324 Price: $913.61
Day 325 Price: $931.58
Day 326 Price: $887.91
Day 327 Price: $887.95
Day 328 Price: $870.41
Day 329 Price: $951.91
Day 330 Price: $985.08
Day 331 Price: $1,064.44
